sample,total_count,cell_type,population,percentage
4658,105262,cd8_t_cell,28065,26.662043282476105
4658,105262,b_cell,11049,10.496665463320097
4659,97213,monocyte,22071,22.703753613199883
4659,97213,cd8_t_cell,27135,27.912933455402055
4659,97213,nk_cell,12318,12.67114480573586
4659,97213,cd4_t_cell,26627,27.390369600773557
4659,97213,b_cell,9062,9.321798524888647
4660,110105,nk_cell,17405,15.807638163571136
4660,110105,monocyte,29049,26.382998047318466
4660,110105,cd4_t_cell,29834,27.095953862222423
4660,110105,cd8_t_cell,24030,21.824621951773306
4660,110105,b_cell,9787,8.888787975114663
4661,102047,cd8_t_cell,29053,28.470214704988877
4661,102047,cd4_t_cell,26603,26.069360196772074
4661,102047,b_cell,5546,5.434750654110361
4661,102047,monocyte,21691,21.255891892951286
4661,102047,nk_cell,19154,18.7697825511774
4662,95409,nk_cell,15762,16.52045404521586
4662,95409,b_cell,8315,8.715110733788217
4662,95409,monocyte,19048,19.964573572723747
4662,95409,cd8_t_cell,29458,30.875493926149524
4662,95409,cd4_t_cell,22826,23.92436772212265
4663,106153,cd8_t_cell,28228,26.59180616657089
4663,106153,b_cell,7719,7.271579700997617
4663,106153,cd4_t_cell,34775,32.75931909602178
4663,106153,nk_cell,13287,12.516838902339074
4663,106153,monocyte,22144,20.860456134070635
4664,102263,cd4_t_cell,27410,26.80343819367709
4664,102263,cd8_t_cell,25736,25.166482501002317
4664,102263,nk_cell,15695,15.347681957306161
4664,102263,b_cell,12109,11.841037325327832
4664,102263,monocyte,21313,20.841360022686604
4665,101437,nk_cell,13066,12.880901446217848
4665,101437,cd8_t_cell,28115,27.71671086487179
4665,101437,monocyte,16087,15.859104665950294
4665,101437,cd4_t_cell,31440,30.994607490363478
4665,101437,b_cell,12729,12.548675532596587
4666,88458,monocyte,19712,22.284021795654436
4666,88458,nk_cell,12464,14.090302742544484
4666,88458,b_cell,7845,8.868615614189785
4666,88458,cd4_t_cell,24009,27.141694363426712
4666,88458,cd8_t_cell,24428,27.615365484184583
4667,91057,monocyte,23880,26.225331385835247
4667,91057,cd4_t_cell,25523,28.02969568512031
4667,91057,cd8_t_cell,25978,28.529382694356283
4667,91057,b_cell,5396,5.925958465576507
4667,91057,nk_cell,10280,11.289631769111654
4668,108113,cd8_t_cell,22555,20.862430974998382
4668,108113,cd4_t_cell,32926,30.455171903471367
4668,108113,monocyte,26463,24.47716740817478
4668,108113,nk_cell,17742,16.410607420014244
4668,108113,b_cell,8427,7.794622293341226
4669,98315,b_cell,4627,4.706301174795301
4669,98315,cd4_t_cell,37913,38.562782891725575
4669,98315,cd8_t_cell,18525,18.842496058587194
4669,98315,nk_cell,23771,24.178406143518284
4669,98315,monocyte,13479,13.710013731373646
4670,98255,nk_cell,17672,17.985853137244924
4670,98255,cd8_t_cell,21322,21.70067681034044
4670,98255,monocyte,19995,20.350109409190374
4670,98255,b_cell,15742,16.02157651010127
4670,98255,cd4_t_cell,23524,23.941784133122994
4671,108019,nk_cell,20741,19.201251631657392
4671,108019,monocyte,22464,20.79634138438608
4671,108019,b_cell,13387,12.39319008692915
4671,108019,cd8_t_cell,16144,14.945518843907092
4671,108019,cd4_t_cell,35283,32.663698053120285
4672,91606,nk_cell,12360,13.49256598912735
4672,91606,cd8_t_cell,25953,28.33111368250988
4672,91606,cd4_t_cell,29063,31.726087810842085
4672,91606,b_cell,5816,6.3489291094469795
4672,91606,monocyte,18414,20.101303408073708
4673,108338,monocyte,10167,9.384518820727722
4673,108338,b_cell,9344,8.624859236832876
4673,108338,cd4_t_cell,35002,32.308146725987186
4673,108338,nk_cell,22337,20.617881075892118
4673,108338,cd8_t_cell,31488,29.0645941405601
4674,102879,nk_cell,15921,15.475461464438805
4674,102879,monocyte,17977,17.473925679681955
4674,102879,cd4_t_cell,20097,19.53459889773423
4674,102879,cd8_t_cell,31450,30.56989278667172
4674,102879,b_cell,17434,16.946121171473283
4675,108014,nk_cell,8433,7.807321273168292
4675,108014,cd4_t_cell,39653,36.71098190975244
4675,108014,monocyte,26025,24.094098913103856
4675,108014,b_cell,8257,7.644379432295814
4675,108014,cd8_t_cell,25646,23.743218471679597
4676,107203,cd4_t_cell,32531,30.345232875945637
4676,107203,b_cell,5740,5.35432777067806
4676,107203,nk_cell,17288,16.126414372732107
4676,107203,cd8_t_cell,28501,26.58600971987724
4676,107203,monocyte,23143,21.58801526076696
4677,91112,cd4_t_cell,27571,30.260558433576257
4677,91112,cd8_t_cell,25425,27.905215558872598
4677,91112,monocyte,18352,20.142242514707174
4677,91112,b_cell,10656,11.69549565370094
4677,91112,nk_cell,9108,9.996487839143033
4678,99971,cd4_t_cell,30858,30.866951415910616
4678,99971,cd8_t_cell,22770,22.7766052155125
4678,99971,nk_cell,22418,22.424503105900712
4678,99971,monocyte,18287,18.29230476838283
4678,99971,b_cell,5638,5.639635494293345
4679,96440,nk_cell,9764,10.12442969722107
4679,96440,cd4_t_cell,29724,30.821236001659063
4679,96440,cd8_t_cell,24197,25.090211530485274
4679,96440,monocyte,20792,21.559518871837412
4679,96440,b_cell,11963,12.40460389879718
4680,95274,b_cell,9608,10.084598106513845
4680,95274,cd4_t_cell,30296,31.79881184793333
4680,95274,monocyte,25032,26.273694817053972
4680,95274,nk_cell,11072,11.621218800512207
4680,95274,cd8_t_cell,19266,20.221676427986647
4681,110723,cd4_t_cell,36285,32.77096899469848
4681,110723,nk_cell,19786,17.869819278740643
4681,110723,cd8_t_cell,25648,23.164112244068534
4681,110723,monocyte,19254,17.38934096800123
4681,110723,b_cell,9750,8.805758514491117
4682,106454,cd8_t_cell,34540,32.44593909106281
4682,106454,cd4_t_cell,29058,27.296296992128056
4682,106454,nk_cell,15513,14.572491404738198
4682,106454,monocyte,18683,17.550303417438517
4682,106454,b_cell,8660,8.134969094632423
4683,90827,cd8_t_cell,24746,27.24520241778326
4683,90827,monocyte,17334,19.084633423981856
4683,90827,b_cell,8094,8.911447036674117
4683,90827,nk_cell,13059,14.377883228555385
4683,90827,cd4_t_cell,27594,30.38083389300538
4684,91268,b_cell,5600,6.135775956523645
4684,91268,nk_cell,9053,9.919139238287242
4684,91268,monocyte,25145,27.550729719069118
4684,91268,cd4_t_cell,26739,29.29723451812245
4684,91268,cd8_t_cell,24731,27.097120567997546
4685,108454,cd4_t_cell,32477,29.945414645840636
4685,108454,monocyte,15248,14.059416895642393
4685,108454,cd8_t_cell,25000,23.051247533516513
4685,108454,b_cell,14950,13.784646025042877
4685,108454,nk_cell,20779,19.159274899957584
4686,111625,monocyte,21832,19.558342665173573
4686,111625,cd8_t_cell,17043,15.268085106382978
4686,111625,b_cell,12897,11.553863381858903
4686,111625,cd4_t_cell,42311,37.904591265397535
4686,111625,nk_cell,17542,15.71511758118701
4687,97729,b_cell,7533,7.708049811212639
4687,97729,cd4_t_cell,24310,24.874909187651568
4687,97729,monocyte,24062,24.621146230903825
4687,97729,nk_cell,14633,14.973037685845553
4687,97729,cd8_t_cell,27191,27.822857084386417
4688,104257,monocyte,18653,17.89136460861141
4688,104257,nk_cell,16517,15.842581313484946
4688,104257,cd8_t_cell,36041,34.5693814324218
4688,104257,b_cell,9983,9.57537623373011
4688,104257,cd4_t_cell,23063,22.12129641175173
4689,108209,cd8_t_cell,31702,29.29700856675508
4689,108209,b_cell,9288,8.583389551700876
4689,108209,monocyte,17025,15.733441765472373
4689,108209,cd4_t_cell,30282,27.984733247696585
4689,108209,nk_cell,19912,18.40142686837509
4690,95111,b_cell,6388,6.7163629864053584
4690,95111,monocyte,21972,23.10142885680941
4690,95111,cd4_t_cell,23584,24.796290649872255
4690,95111,nk_cell,12297,12.929103889140055
4690,95111,cd8_t_cell,30870,32.456813617772916
4691,102740,cd4_t_cell,34098,33.18863149698267
4691,102740,monocyte,14727,14.334241775355267
4691,102740,nk_cell,22549,21.947634806307185
4691,102740,cd8_t_cell,16481,16.04146388942963
4691,102740,b_cell,14885,14.488028031925248
4692,100172,b_cell,9755,9.738250209639421
4692,100172,monocyte,21916,21.878369204967456
4692,100172,nk_cell,24587,24.544782973285947
4692,100172,cd4_t_cell,25928,25.883480413688453
4692,100172,cd8_t_cell,17986,17.95511719841872
4693,91556,cd8_t_cell,30393,33.19607671807419
4693,91556,cd4_t_cell,27148,29.651797806806762
4693,91556,nk_cell,12802,13.982699113111103
4693,91556,b_cell,9119,9.96002446590065
4693,91556,monocyte,12094,13.2094018961073
4694,102466,monocyte,20716,20.217437979427324
4694,102466,cd8_t_cell,29480,28.77051900142486
4694,102466,cd4_t_cell,37863,36.95176936739992
4694,102466,nk_cell,9436,9.208908320808854
4694,102466,b_cell,4971,4.851365330939044
4695,101014,nk_cell,14719,14.571247549844577
4695,101014,cd4_t_cell,28363,28.078286178153522
4695,101014,b_cell,10890,10.780683865602787
4695,101014,monocyte,12694,12.566574930207693
4695,101014,cd8_t_cell,34348,34.00320747619142
4696,117571,b_cell,9367,7.967100730622348
4696,117571,monocyte,19974,16.988883313061894
4696,117571,cd4_t_cell,33331,28.349678066870233
4696,117571,nk_cell,15959,13.57392554286346
4696,117571,cd8_t_cell,38940,33.120412346582064
4697,105801,b_cell,8112,7.667224317350498
4697,105801,cd4_t_cell,24949,23.58106256084536
4697,105801,monocyte,21137,19.978072040906987
4697,105801,cd8_t_cell,34756,32.850351130896684
4697,105801,nk_cell,16847,15.923289950000472
4698,97857,monocyte,16914,17.284404794751527
4698,97857,b_cell,7388,7.549792043492035
4698,97857,cd4_t_cell,27781,28.38938451005038
4698,97857,cd8_t_cell,27830,28.439457575850476
4698,97857,nk_cell,17944,18.336961075855584
4699,94202,nk_cell,10377,11.015689688117025
4699,94202,cd4_t_cell,31646,33.593766586696674
4699,94202,b_cell,10553,11.2025222394429
4699,94202,cd8_t_cell,27514,29.207447824886945
4699,94202,monocyte,14112,14.980573660856459
4700,102311,nk_cell,12629,12.34373625514363
4700,102311,b_cell,4655,4.549852899492723
4700,102311,cd4_t_cell,34575,33.794020193332095
4700,102311,monocyte,17021,16.63652979640508
4700,102311,cd8_t_cell,33431,32.67586085562647
4701,106128,b_cell,13924,13.120006030453792
4701,106128,monocyte,21465,20.225576662143826
4701,106128,cd4_t_cell,32559,30.678991406603345
4701,106128,cd8_t_cell,22594,21.2893864013267
4701,106128,nk_cell,15586,14.686039499472336
4702,94015,monocyte,12569,13.369143221826304
4702,94015,cd4_t_cell,28641,30.46428761367867
4702,94015,cd8_t_cell,25870,27.516885603361164
4702,94015,b_cell,9427,10.02712333138329
4702,94015,nk_cell,17508,18.62256022975057
4703,95211,b_cell,9291,9.758326243816366
4703,95211,monocyte,20502,21.533226202854713
4703,95211,nk_cell,18354,19.277184358950123
4703,95211,cd4_t_cell,29521,31.005871170347966
4703,95211,cd8_t_cell,17543,18.425392024030838
4704,104624,cd8_t_cell,26778,25.59450986389356
4704,104624,monocyte,18030,17.233139623795687
4704,104624,cd4_t_cell,40683,38.884959473925676
4704,104624,nk_cell,13055,12.478016516286894
4704,104624,b_cell,6078,5.809374522098181
4705,96486,cd8_t_cell,18582,19.258752565138984
4705,96486,nk_cell,14685,15.219824637771284
4705,96486,monocyte,14272,14.791783263893207
4705,96486,cd4_t_cell,33184,34.392554360218064
4705,96486,b_cell,15763,16.337085172978462
4706,95362,b_cell,9050,9.490153310542984
4706,95362,nk_cell,12246,12.841593087393303
4706,95362,cd8_t_cell,29637,31.07841697950966
4706,95362,cd4_t_cell,26779,28.081416077682935
4706,95362,monocyte,17650,18.508420544871125
4707,105014,b_cell,13868,13.205858266516845
4707,105014,cd8_t_cell,21838,20.79532252842478
4707,105014,nk_cell,18065,17.202468242329594
4707,105014,cd4_t_cell,33072,31.492943797969797
4707,105014,monocyte,18171,17.303407164758987
4708,92602,b_cell,12057,13.02023714390618
4708,92602,monocyte,18695,20.188548843437506
4708,92602,nk_cell,11317,12.221118334377227
4708,92602,cd4_t_cell,25379,27.406535495993605
4708,92602,cd8_t_cell,25154,27.16356018228548
4709,104715,cd4_t_cell,32703,31.230482738862626
4709,104715,nk_cell,18169,17.35090483693836
4709,104715,monocyte,24624,23.515255694026642
4709,104715,b_cell,10459,9.988062837224849
4709,104715,cd8_t_cell,18760,17.915293892947524
4710,89932,monocyte,16840,18.725259084641728
4710,89932,cd8_t_cell,23858,26.528932971578527
4710,89932,b_cell,11545,12.837477204999335
4710,89932,cd4_t_cell,23870,26.542276386603213
4710,89932,nk_cell,13819,15.3660543521772
4711,97090,cd4_t_cell,37194,38.3087856627871
4711,97090,b_cell,3999,4.118858790812649
4711,97090,monocyte,12693,13.073437017200535
4711,97090,cd8_t_cell,32492,33.46585642187661
4711,97090,nk_cell,10712,11.033062107323103
4712,105658,nk_cell,13024,12.326563061954609
4712,105658,cd4_t_cell,37982,35.948058831323706
4712,105658,monocyte,22614,21.403017282174563
4712,105658,cd8_t_cell,18509,17.51784057998448
4712,105658,b_cell,13529,12.804520244562646
4713,106084,b_cell,11693,11.022397345499794
4713,106084,cd4_t_cell,26366,24.85388937068738
4713,106084,nk_cell,14135,13.32434674408959
4713,106084,monocyte,29189,27.514988122619812
4713,106084,cd8_t_cell,24701,23.284378417103426
4714,98526,cd8_t_cell,21416,21.73639445425573
4714,98526,cd4_t_cell,33118,33.613462436311224
4714,98526,monocyte,20609,20.9173213162008
4714,98526,nk_cell,17489,17.750644499928953
4714,98526,b_cell,5894,5.98217729330329
4715,111478,nk_cell,17120,15.357290227668239
4715,111478,cd4_t_cell,40357,36.20176178259388
4715,111478,b_cell,5432,4.872710310554549
4715,111478,cd8_t_cell,22378,20.073915929600457
4715,111478,monocyte,26191,23.494321749582877
4716,108442,monocyte,27300,25.174747791446116
4716,108442,nk_cell,10308,9.505542133121853
4716,108442,cd8_t_cell,32710,30.163589753047717
4716,108442,b_cell,5984,5.518157171575589
4716,108442,cd4_t_cell,32140,29.637963150808726
4717,110326,monocyte,28264,25.618621177238367
4717,110326,nk_cell,9185,8.325326758878234
4717,110326,cd8_t_cell,29726,26.943784783278645
4717,110326,cd4_t_cell,30337,27.49759802766347
4717,110326,b_cell,12814,11.614669252941283
4718,96299,cd4_t_cell,30958,32.147789696673904
4718,96299,monocyte,16083,16.7011080073521
4718,96299,nk_cell,19710,20.467502258590432
4718,96299,cd8_t_cell,20782,21.580701772604076
4718,96299,b_cell,8766,9.102898264779489
4719,93492,cd4_t_cell,31426,33.613571214649376
4719,93492,monocyte,22851,24.441663457835965
4719,93492,nk_cell,13574,14.518889316732983
4719,93492,cd8_t_cell,19418,20.769691524408508
4719,93492,b_cell,6223,6.656184486373165
4720,91323,b_cell,3591,3.9321967083867158
4720,91323,cd8_t_cell,25842,28.297362110311752
4720,91323,nk_cell,16228,17.769893674101812
4720,91323,cd4_t_cell,26143,28.626961444543
4720,91323,monocyte,19519,21.373586062656724
4721,91560,cd4_t_cell,27452,29.982525120139798
4721,91560,nk_cell,13587,14.839449541284402
4721,91560,monocyte,19032,20.786369593709043
4721,91560,cd8_t_cell,19354,21.138051550895586
4721,91560,b_cell,12135,13.253604193971166
4722,100324,cd8_t_cell,31772,31.669391172600776
4722,100324,nk_cell,16707,16.65304413699613
4722,100324,b_cell,5847,5.828116901239983
4722,100324,cd4_t_cell,28782,28.689047486144894
4722,100324,monocyte,17216,17.16040030301822
4723,97244,monocyte,29652,30.49236970918514
4723,97244,b_cell,6799,6.991691004072232
4723,97244,nk_cell,15841,16.289951050964586
4723,97244,cd4_t_cell,25753,26.482867837604378
4723,97244,cd8_t_cell,19199,19.743120398173666
4724,95911,cd8_t_cell,25520,26.60800116774927
4724,95911,nk_cell,14280,14.88880316126409
4724,95911,cd4_t_cell,23541,24.54462991731918
4724,95911,b_cell,12868,13.416604977531252
4724,95911,monocyte,19702,20.541960776136207
4725,99323,nk_cell,12602,12.687897063117305
4725,99323,cd8_t_cell,25577,25.75133654843289
4725,99323,monocyte,20876,21.018293849360166
4725,99323,cd4_t_cell,30199,30.40484077202662
4725,99323,b_cell,10069,10.137631767063016
4726,96500,monocyte,21433,22.210362694300517
4726,96500,cd8_t_cell,18053,18.70777202072539
4726,96500,nk_cell,18413,19.08082901554404
4726,96500,b_cell,8037,8.328497409326426
4726,96500,cd4_t_cell,30564,31.67253886010363
4727,94704,cd4_t_cell,30213,31.90255955397871
4727,94704,b_cell,8592,9.07247845919919
4727,94704,cd8_t_cell,19467,20.55562595032945
4727,94704,nk_cell,20527,21.674902855212032
4727,94704,monocyte,15905,16.79443318128062
4728,99551,cd4_t_cell,39869,40.04881919819992
4728,99551,monocyte,21900,21.99877449749375
4728,99551,cd8_t_cell,16761,16.836596317465418
4728,99551,b_cell,9821,9.865295175337264
4728,99551,nk_cell,11200,11.25051481150365
4729,95653,nk_cell,8460,8.844469070494391
4729,95653,monocyte,14092,14.732418220024462
4729,95653,cd8_t_cell,27860,29.126112092668286
4729,95653,cd4_t_cell,32563,34.04284235727055
4729,95653,b_cell,12678,13.254158259542304
4730,110463,cd8_t_cell,31325,28.357911698939915
4730,110463,b_cell,15239,13.795569557227308
4730,110463,nk_cell,16255,14.715334546409206
4730,110463,cd4_t_cell,27131,24.561165277061097
4730,110463,monocyte,20513,18.570018920362475
4731,97847,cd4_t_cell,30595,31.268204441628257
4731,97847,cd8_t_cell,22383,22.875509724365592
4731,97847,monocyte,19204,19.62655983320899
4731,97847,nk_cell,18994,19.41193904769691
4731,97847,b_cell,6671,6.817786953100248
4732,106043,monocyte,24841,23.42540290259612
4732,106043,cd4_t_cell,29757,28.06125816885603
4732,106043,cd8_t_cell,22133,20.871721848684025
4732,106043,b_cell,16032,15.11839536791679
4732,106043,nk_cell,13280,12.523221711947041
4733,100075,nk_cell,12431,12.421683737197101
4733,100075,monocyte,29783,29.760679490382213
4733,100075,b_cell,7573,7.567324506620035
4733,100075,cd4_t_cell,32642,32.61753684736448
4733,100075,cd8_t_cell,17646,17.63277541843617
4734,109679,cd4_t_cell,32649,29.767776876156788
4734,109679,nk_cell,29834,27.201196218054502
4734,109679,cd8_t_cell,26644,24.292708722727234
4734,109679,monocyte,13100,11.94394551372642
4734,109679,b_cell,7452,6.7943726693350595
4735,92234,nk_cell,13409,14.538022854912505
4735,92234,b_cell,11423,12.384803868421624
4735,92234,monocyte,23271,25.23039226315675
4735,92234,cd8_t_cell,20999,22.767092395429017
4735,92234,cd4_t_cell,23132,25.079688618080098
4736,105994,monocyte,26756,25.242938279525255
4736,105994,cd4_t_cell,38162,36.00392475045757
4736,105994,nk_cell,12366,11.666698114987641
4736,105994,cd8_t_cell,23843,22.494669509594882
4736,105994,b_cell,4867,4.591769345434647
4737,101662,monocyte,15889,15.62924199799335
4737,101662,cd8_t_cell,22653,22.282662154984163
4737,101662,cd4_t_cell,29163,28.68623477798981
4737,101662,b_cell,18510,18.20739312624186
4737,101662,nk_cell,15447,15.194467942790816
4738,93801,b_cell,7127,7.598000021321734
4738,93801,nk_cell,12181,12.986002281425572
4738,93801,cd8_t_cell,26092,27.81633458065479
4738,93801,monocyte,22867,24.378204923188452
4738,93801,cd4_t_cell,25534,27.221458193409454
4739,99570,nk_cell,8682,8.719493823440795
4739,99570,monocyte,20597,20.685949583207794
4739,99570,b_cell,7525,7.557497238123934
4739,99570,cd4_t_cell,29116,29.24173947976298
4739,99570,cd8_t_cell,33650,33.7953198754645
4740,100522,cd8_t_cell,23432,23.310320128927
4740,100522,b_cell,7268,7.23025805296353
4740,100522,nk_cell,17374,17.283778675314856
4740,100522,cd4_t_cell,32330,32.16211376614074
4740,100522,monocyte,20118,20.013529376653867
4741,105420,b_cell,6250,5.928666287232024
4741,105420,nk_cell,22347,21.19806488332385
4741,105420,cd4_t_cell,36027,34.174729652817305
4741,105420,cd8_t_cell,24308,23.058243217605767
4741,105420,monocyte,16488,15.640295959021058
4742,104377,b_cell,10521,10.079806854000402
4742,104377,nk_cell,18622,17.8410952604501
4742,104377,cd8_t_cell,27463,26.311352117803732
4742,104377,monocyte,20220,19.37208388821292
4742,104377,cd4_t_cell,27551,26.395661879532845
4743,95527,cd4_t_cell,30689,32.125995791765675
4743,95527,b_cell,6734,7.049315900216693
4743,95527,nk_cell,12883,13.486239492499502
4743,95527,monocyte,18316,19.173636772849562
4743,95527,cd8_t_cell,26905,28.164812042668565
4744,98382,b_cell,6469,6.57538980707853
4744,98382,cd8_t_cell,35952,36.54327011038605
4744,98382,monocyte,12912,13.124352015612612
4744,98382,nk_cell,9644,9.802606167794922
4744,98382,cd4_t_cell,33405,33.95438189912789
4745,99657,cd4_t_cell,29100,29.20015653692164
4745,99657,b_cell,10863,10.900388331978688
4745,99657,nk_cell,16911,16.969204370992504
4745,99657,cd8_t_cell,17105,17.163872081238647
4745,99657,monocyte,25678,25.766378678868517
4746,101431,nk_cell,10005,9.863848330392088
4746,101431,cd8_t_cell,27949,27.554692352436632
4746,101431,cd4_t_cell,36799,36.279835553233234
4746,101431,monocyte,14926,14.715422306789838
4746,101431,b_cell,11752,11.58620145714821
4747,109011,monocyte,26670,24.465420920824503
4747,109011,nk_cell,18923,17.35879865334691
4747,109011,cd8_t_cell,15018,13.776591353166195
4747,109011,cd4_t_cell,39493,36.22845400922843
4747,109011,b_cell,8907,8.170735063433964
4748,92628,cd4_t_cell,33812,36.50300125232111
4748,92628,b_cell,6946,7.498812454117545
4748,92628,cd8_t_cell,21160,22.84406442976206
4748,92628,monocyte,13598,14.680226281469967
4748,92628,nk_cell,17112,18.473895582329316
4749,99128,monocyte,16063,16.204301509159873
4749,99128,b_cell,10046,10.134371721410702
4749,99128,nk_cell,16385,16.529134048906464
4749,99128,cd4_t_cell,33527,33.8219272052296
4749,99128,cd8_t_cell,23107,23.310265515293356
4750,109806,cd4_t_cell,42880,39.050689397664975
4750,109806,monocyte,16040,14.607580642223558
4750,109806,nk_cell,14812,13.489244667868785
4750,109806,cd8_t_cell,24561,22.367630184142943
4750,109806,b_cell,11513,10.48485510809974
4751,106018,cd4_t_cell,28044,26.452111905525477
4751,106018,monocyte,16417,15.485106302703313
4751,106018,b_cell,12952,12.216793374709955
4751,106018,nk_cell,17601,16.601897790941162
4751,106018,cd8_t_cell,31004,29.244090626120094
4752,103944,b_cell,10819,10.40848918648503
4752,103944,monocyte,20358,19.585546063264836
4752,103944,cd8_t_cell,33685,32.40687293157854
4752,103944,nk_cell,13099,12.601977988147464
4752,103944,cd4_t_cell,25983,24.99711383052413
4753,107972,monocyte,17337,16.056940688326605
4753,107972,cd8_t_cell,23404,21.675990071500017
4753,107972,nk_cell,16971,15.717963916570962
4753,107972,b_cell,14266,13.212684770125588
4753,107972,cd4_t_cell,35994,33.33642055347683
4754,102782,b_cell,13348,12.986709735167636
4754,102782,cd4_t_cell,33167,32.26926893814092
4754,102782,monocyte,20108,19.563736841081123
4754,102782,nk_cell,11763,11.444610924091766
4754,102782,cd8_t_cell,24396,23.735673561518553
4755,96949,cd4_t_cell,19659,20.27767176556746
4755,96949,monocyte,23723,24.4695664730941
4755,96949,cd8_t_cell,30810,31.779595457405442
4755,96949,nk_cell,7168,7.393578066818636
4755,96949,b_cell,15589,16.079588237114358
4756,107826,b_cell,9977,9.252870365218037
4756,107826,nk_cell,23596,21.883404744681243
4756,107826,cd8_t_cell,15946,14.788640958581418
4756,107826,cd4_t_cell,36702,34.03817261142952
4756,107826,monocyte,21605,20.03691132008977
4757,98531,cd8_t_cell,24467,24.831778831027798
4757,98531,b_cell,7360,7.469730338675137
4757,98531,nk_cell,9811,9.957272330535567
4757,98531,cd4_t_cell,24702,25.070282449178432
4757,98531,monocyte,32191,32.670936050583066
4758,111601,monocyte,29840,26.738111665666075
4758,111601,nk_cell,12099,10.841300705190813
4758,111601,cd4_t_cell,29820,26.720190679294987
4758,111601,b_cell,12414,11.123556240535478
4758,111601,cd8_t_cell,27428,24.57684070931264
4759,99042,b_cell,14043,14.178833222269342
4759,99042,monocyte,18265,18.441671210193654
4759,99042,cd4_t_cell,26734,26.99258900264534
4759,99042,cd8_t_cell,27311,27.575170129843908
4759,99042,nk_cell,12689,12.811736435047758
4760,106136,cd8_t_cell,16386,15.438682445164694
4760,106136,nk_cell,18383,17.32023064747117
4760,106136,cd4_t_cell,25634,24.15203135599608
4760,106136,b_cell,20406,19.226275721715535
4760,106136,monocyte,25327,23.86277982965252
4761,88313,monocyte,21205,24.011187480891827
4761,88313,cd4_t_cell,21379,24.20821396623374
4761,88313,cd8_t_cell,26934,30.498341127580307
4761,88313,b_cell,5564,6.300318186450466
4761,88313,nk_cell,13231,14.981939238843658
4762,95744,cd4_t_cell,43344,45.27072192513369
4762,95744,cd8_t_cell,17410,18.183907085561497
4762,95744,monocyte,14450,15.092329545454545
4762,95744,nk_cell,15752,16.452205882352942
4762,95744,b_cell,4788,5.000835561497326
4763,103688,nk_cell,13363,12.887701566237173
4763,103688,monocyte,16961,16.35772702723555
4763,103688,cd8_t_cell,27591,26.609636602114033
4763,103688,cd4_t_cell,38477,37.10844070673559
4763,103688,b_cell,7296,7.036494097677648
4764,108737,monocyte,23898,21.977799645015036
4764,108737,nk_cell,17407,16.0083504234989
4764,108737,cd8_t_cell,22428,20.625913902351545
4764,108737,cd4_t_cell,31877,29.31568831216605
4764,108737,b_cell,13127,12.072247716968466
4765,101855,monocyte,30899,30.336262333709684
4765,101855,nk_cell,9169,9.00201266506308
4765,101855,b_cell,13085,12.846693829463455
4765,101855,cd8_t_cell,21257,20.869864022384764
4765,101855,cd4_t_cell,27445,26.945167149379017
4766,94176,cd8_t_cell,19605,20.817405708460754
4766,94176,b_cell,8794,9.337835541963981
4766,94176,cd4_t_cell,31701,33.661442405708456
4766,94176,nk_cell,16015,17.005394155623513
4766,94176,monocyte,18061,19.17792218824329
4767,108474,cd4_t_cell,33696,31.06366502572045
4767,108474,nk_cell,19557,18.029205155152386
4767,108474,monocyte,21336,19.66922949278168
4767,108474,cd8_t_cell,22830,21.046518059627193
4767,108474,b_cell,11055,10.191382266718293
4768,93945,monocyte,20784,22.123582947469263
4768,93945,nk_cell,10464,11.13843206131247
4768,93945,cd8_t_cell,15310,16.296769386343072
4768,93945,cd4_t_cell,32449,34.54042258768428
4768,93945,b_cell,14938,15.900793017190908
4769,108043,cd8_t_cell,18189,16.834963856982867
4769,108043,b_cell,14016,12.97261275603232
4769,108043,nk_cell,14236,13.176235387762281
4769,108043,cd4_t_cell,37921,35.09806280832631
4769,108043,monocyte,23681,21.918125190896216
4770,94297,nk_cell,12690,13.45748008950444
4770,94297,cd8_t_cell,24348,25.820545722557455
4770,94297,cd4_t_cell,30683,32.53868097606499
4770,94297,b_cell,5911,6.2684921047329185
4770,94297,monocyte,20665,21.914801107140207
4771,105990,nk_cell,13704,12.929521652986132
4771,105990,monocyte,23736,22.394565525049533
4771,105990,cd4_t_cell,28515,26.903481460515145
4771,105990,cd8_t_cell,30893,29.1470893480517
4771,105990,b_cell,9142,8.62534201339749
4772,102825,b_cell,4377,4.256746900072939
4772,102825,nk_cell,15811,15.37661074641381
4772,102825,cd4_t_cell,28272,27.495258935083882
4772,102825,cd8_t_cell,30362,29.52783856066132
4772,102825,monocyte,24003,23.34354485776805
4773,111157,cd4_t_cell,29558,26.591217827037433
4773,111157,nk_cell,13134,11.815720107595563
4773,111157,cd8_t_cell,32587,29.316192412533624
4773,111157,b_cell,15820,14.232122133558839
4773,111157,monocyte,20058,18.04474751927454
4774,110302,cd8_t_cell,31794,28.824500009066018
4774,110302,monocyte,18363,16.647930227919712
4774,110302,b_cell,9858,8.937281282297691
4774,110302,cd4_t_cell,33538,30.40561367880909
4774,110302,nk_cell,16749,15.18467480190749
4775,106951,monocyte,18956,17.724004450636272
4775,106951,b_cell,4238,3.962562294882703
4775,106951,cd4_t_cell,28339,26.497180952024756
4775,106951,cd8_t_cell,31072,29.052556778337745
4775,106951,nk_cell,24346,22.76369552411852
